Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),car_age,price_per_km
334,2018 Maruti Baleno 1.2 Alpha,2018,Comprehensive,Petrol,5,36937,First Owner,Manual,2018,21.4,1197.0,1197.0,831.0,6.4,8,17.326799685951755
335,2019 Toyota Innova Crysta 2.4 VX MT,2019,Third Party insurance,Diesel,7,42000,First Owner,Manual,2019,13.68,2393.0,2393.0,14751.0,18.75,7,44.642857142857146
336,2019 BMW 5 Series 520d Luxury Line,2019,Comprehensive,Diesel,5,55000,First Owner,Automatic,2019,20.37,1995.0,1995.0,18774.0,41.5,7,75.45454545454545
337,2019 Maruti Baleno Delta,2019,Comprehensive,Petrol,5,70391,Second Owner,Manual,2019,21.01,1197.0,1197.0,8180.0,5.12,7,7.273657143668935
338,2014 Hyundai Elantra SX,2014,Third Party insurance,Petrol,5,56000,First Owner,Manual,2014,16.3,1797.0,1797.0,1475.0,4.95,12,8.839285714285714
339,2016 Hyundai Grand i10 Sportz,2016,Comprehensive,Petrol,5,52190,First Owner,Manual,2016,18.9,1197.0,1197.0,82.0,4.31,10,8.258287028166315
341,2018 Audi A3 35 TDI Premium Plus,2018,Comprehensive,Diesel,5,72000,First Owner,Automatic,2018,20.38,1968.0,1968.0,143.0,20.0,8,27.77777777777778
342,2013 Maruti Wagon R VXi BSII,2013,Comprehensive,Petrol,5,48173,First Owner,Manual,2013,998.0,671.0,671.0,90.0,2.88,13,5.978452660203849
345,2019 Mercedes-Benz CLA Urban Sport 200d,2019,Third Party insurance,Diesel,5,44132,Second Owner,Automatic,2019,17.9,2143.0,2143.0,1341.0,26.9,7,60.95350312698269
347,2020 Ford Endeavour Titanium Plus 4X4 AT,2020,Comprehensive,Diesel,7,49000,First Owner,Automatic,2020,12.4,1996.0,1996.0,16762.0,33.5,6,68.36734693877551
348,2017 Audi Q7 3.0 TDI Quattro Technology,2017,Comprehensive,Diesel,7,70000,Second Owner,Automatic,2017,12.07,2967.0,2967.0,2414.0,40.0,9,57.142857142857146
349,2015 Hyundai Creta 1.6 Gamma SX Plus,2015,Comprehensive,Petrol,5,49341,First Owner,Manual,2015,15.29,1591.0,1591.0,1213.0,8.42,11,17.064915587442492
350,2018 Isuzu MU-X 4X2,2018,Comprehensive,Diesel,7,55000,First Owner,Automatic,2018,13.8,2999.0,2999.0,175.0,18.95,8,34.45454545454545
351,2019 Hyundai Creta 1.4 S,2019,Comprehensive,Diesel,5,55861,First Owner,Manual,2019,22.1,1396.0,1396.0,887.0,10.27,7,18.384919711426576
352,2018 Land Rover Discovery HSE 3.0 Si6,2018,Third Party insurance,Petrol,7,76000,Second Owner,Automatic,2018,9.17,2995.0,2995.0,33525.0,49.5,8,65.13157894736842
353,2018 Toyota Innova Crysta 2.4 G MT,2018,Comprehensive,Diesel,7,68000,First Owner,Manual,2018,13.68,2393.0,2393.0,14751.0,14.25,8,20.955882352941178
354,2014 Honda Amaze VX i-VTEC,2014,Comprehensive,Petrol,5,52565,First Owner,Manual,2014,17.8,1198.0,1198.0,867.0,4.17,12,7.9330352896413965
355,2018 Volvo S90 D4 Momentum,2018,Comprehensive,Diesel,5,72000,First Owner,Automatic,2018,18.0,1969.0,1969.0,190.0,29.55,8,41.041666666666664
356,2017 Audi Q7 45 TDI Quattro Technology,2017,Comprehensive,Diesel,7,70000,Second Owner,Automatic,2017,14.75,2967.0,2967.0,245.0,40.0,9,57.142857142857146
357,2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,Comprehensive,Petrol,5,73074,First Owner,Manual,2019,18.9,1197.0,1197.0,8186.0,4.93,7,6.7465856528998005
358,2019 Tata Harrier XZ,2019,Third Party insurance,Diesel,5,45000,First Owner,Manual,2019,16.35,1956.0,1956.0,16767.0,13.75,7,30.555555555555557
359,2014 Hyundai Grand i10 Magna,2014,Comprehensive,Petrol,5,90995,First Owner,Manual,2014,1197.0,82.0,82.0,114.0,3.35,12,3.6815209626902576
362,2014 Maruti Wagon R LXI BS IV,2014,Third Party,Petrol,5,42346,Second Owner,Manual,2014,20.51,998.0,998.0,6704.0,3.01,12,7.108109384593586
363,2020 Honda City i-VTEC CVT VX,2020,Comprehensive,Petrol,5,31120,First Owner,Automatic,2020,18.0,1497.0,1497.0,1176.0,11.5,6,36.95372750642674
366,2015 Hyundai Grand i10 Magna CNG,2015,Comprehensive,CNG,5,64000,First Owner,Manual,2015,1197.0,82.0,82.0,114.0,4.25,11,6.640625
368,2017 Audi Q7 3.0 TDI Quattro Technology,2017,Comprehensive,Diesel,7,70000,Second Owner,Automatic,2017,12.07,2967.0,2967.0,2414.0,40.0,9,57.142857142857146
369,2015 Hyundai Creta 1.6 Gamma SX Plus,2015,Comprehensive,Petrol,5,49341,First Owner,Manual,2015,15.29,1591.0,1591.0,1213.0,8.42,11,17.064915587442492
