Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),car_age,price_per_km
1012,2018 Maruti Ertiga CNG VXI,2018,Comprehensive,CNG,7,70000,First Owner,Manual,2018,26.08,1462.0,1462.0,9119.0,7.65,0,0.29332822085889576
1013,2017 Mercedes-Benz GLS 350d 4MATIC,2017,Comprehensive,Diesel,7,80000,Second Owner,Automatic,2017,11.0,2987.0,2987.0,258.0,48.5,0,4.409090909090909
1014,2015 Hyundai Grand i10 Asta,2015,Comprehensive,Petrol,5,105446,First Owner,Manual,2015,18.9,1197.0,1197.0,82.0,3.75,0,0.19841269841269843
1015,2015 Maruti Baleno 1.2 Delta,2015,Comprehensive,Petrol,5,54000,First Owner,Manual,2015,21.4,1197.0,1197.0,831.0,4.25,0,0.19859813084112152
1016,2013 Hyundai i10 Era,2013,Comprehensive,Petrol,5,75865,First Owner,Manual,2013,1086.0,6805.0,6805.0,9904.0,2.65,0,0.002440147329650092
1017,2020 Kia Seltos HTK Plus G,2020,Third Party insurance,Petrol,5,64690,First Owner,Manual,2020,16.8,1497.0,1497.0,11343.0,10.0,0,0.5952380952380952
1018,2022 Hyundai Venue SX BSVI,2022,Third Party,Petrol,5,5103,First Owner,Manual,2022,1197.0,8180.0,8180.0,1138.0,10.85,0,0.009064327485380117
1019,2015 Tata Nano CNG XM,2015,Third Party,CNG,4,52000,Second Owner,Manual,2015,624.0,3748.0,3748.0,51.0,1.5,0,0.002403846153846154
1020,2018 Mahindra KUV 100 mFALCON G80 K2,2018,Comprehensive,Petrol,6,18706,First Owner,Manual,2018,1198.0,82.0,82.0,115.0,4.24,0,0.003539232053422371
1021,2016 Hyundai Xcent 1.2 Kappa S,2017,Third Party,Petrol,5,43687,First Owner,Manual,2016,19.1,1197.0,1197.0,82.0,5.2,1,0.27225130890052357
1022,2019 Hyundai Venue SX Plus Turbo DCT BSIV,2019,Third Party insurance,Petrol,5,51000,First Owner,Automatic,2019,18.15,998.0,998.0,11835.0,9.75,0,0.5371900826446281
1023,2012 Honda City V MT,2012,Third Party insurance,Petrol,5,60758,Second Owner,Manual,2012,16.8,1497.0,1497.0,1163.0,4.4,0,0.2619047619047619
1024,2020 Hyundai Venue SX Opt Diesel BSIV,2022,Third Party insurance,Diesel,5,42000,First Owner,Manual,2020,23.7,1396.0,1396.0,887.0,10.5,2,0.44303797468354433
1025,2016 Maruti Vitara Brezza ZDi Plus Dual Tone,2016,Third Party insurance,Diesel,5,42261,First Owner,Manual,2016,24.3,1248.0,1248.0,885.0,8.85,0,0.3641975308641975
1026,2015 Hyundai Grand i10 Magna,2015,Comprehensive,Petrol,5,75499,First Owner,Manual,2015,1197.0,82.0,82.0,114.0,4.56,0,0.003809523809523809
1028,2015 Hyundai Grand i10 Magna,2015,Third Party,Petrol,5,87109,Second Owner,Manual,2015,1197.0,82.0,82.0,114.0,4.59,0,0.003834586466165413
1029,2019 Mahindra TUV 300 T10,2019,Comprehensive,Diesel,7,69000,First Owner,Manual,2019,18.49,1493.0,1493.0,100.0,8.5,0,0.45970795024337485
1030,2017 Volkswagen Ameo 1.5 TDI Highline AT,2017,Comprehensive,Diesel,5,109000,First Owner,Automatic,2017,22.0,1498.0,1498.0,108495.0,6.25,0,0.2840909090909091
1031,2018 Hyundai Elantra 1.6 SX Option AT,2018,Comprehensive,Diesel,5,90001,First Owner,Automatic,2018,18.23,1582.0,1582.0,1262.0,10.75,0,0.589687328579265
1032,2022 Skoda Kushaq 1.5 TSI Style DSG,2022,Third Party,Petrol,5,13000,First Owner,Automatic,2022,18.89,1498.0,1498.0,14751.0,16.5,0,0.8734780307040763
1033,2011 Volkswagen Polo Diesel Comfortline 1.2L,2011,Comprehensive,Diesel,5,60000,Second Owner,Manual,2011,22.07,1199.0,1199.0,739.0,2.4,0,0.10874490258269143
1034,2010 Hyundai Accent GLE,2010,Comprehensive,Petrol,5,75000,First Owner,Manual,2010,1495.0,94.0,94.0,125.0,1.9,0,0.0012709030100334447
1035,2019 Maruti XL6 Alpha AT,2019,Comprehensive,Petrol,6,76000,First Owner,Automatic,2019,17.99,1462.0,1462.0,1032.0,9.25,0,0.5141745414118956
1036,2014 Maruti Ertiga VDI,2014,Third Party insurance,Diesel,7,82000,First Owner,Manual,2014,20.77,1248.0,1248.0,8876.0,6.5,0,0.31295137217140107
1037,2016 Maruti Vitara Brezza ZDi Plus Dual Tone,2016,Third Party insurance,Diesel,5,42261,First Owner,Manual,2016,24.3,1248.0,1248.0,885.0,8.85,0,0.3641975308641975
1038,2015 Hyundai Grand i10 Magna,2015,Third Party,Petrol,5,87109,Second Owner,Manual,2015,1197.0,82.0,82.0,114.0,4.59,0,0.003834586466165413
1039,2014 Maruti Ertiga VDI,2014,Third Party insurance,Diesel,7,82000,First Owner,Manual,2014,20.77,1248.0,1248.0,8876.0,6.5,0,0.31295137217140107
